GDP and main components (output, expenditure and income) [nama_10_gdp];;;;;;;;;;
UNIT;Current prices, million euro;;;;;;;;;
NA_ITEM;Gross domestic product at market prices;;;;;;;;;
;;;;;;;;;;
GEO/TIME;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
European Union (28 countries);12.983.310,0;13.054.560,5;12.297.013,4;12.817.343,1;13.192.553,6;13.448.656,9;13.558.629,9;14.002.583,4;14.714.003,4;14.819.583,4
European Union (15 countries);12.045.252,3;11.989.396,1;11.350.115,4;11.800.604,5;12.125.912,8;12.370.700,8;12.462.374,5;12.874.631,2;13.532.380,1;13.612.919,6
Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19);9.253.556,1;9.494.101,7;9.228.703,9;9.485.069,9;9.747.693,4;9.780.313,6;9.874.278,2;10.098.564,6;10.459.613,7;10.733.163,7
Euro area (19 countries);9.401.112,6;9.633.672,8;9.288.534,0;9.545.602,7;9.799.171,0;9.835.720,3;9.932.109,1;10.135.154,6;10.459.613,7;10.733.163,7
Euro area (12 countries);9.218.403,5;9.431.015,9;9.103.702,5;9.355.341,1;9.596.936,3;9.627.045,3;9.719.551,8;9.915.902,8;10.233.520,1;10.500.164,3
Belgium;344.713,0;354.066,0;348.781,0;365.101,0;379.106,0;387.500,0;391.712,0;400.805,0;410.351,0;421.974,0
Bulgaria;32.449,1;37.200,1;37.317,7;38.230,5;41.292,0;41.947,2;42.011,5;42.762,2;45.286,5;47.364,1
Czech Republic;138.004,0;160.961,5;148.357,4;156.369,7;164.040,5;161.434,3;157.741,6;156.660,0;166.964,1;174.452,2
Denmark;233.383,2;241.613,5;231.278,1;243.165,4;247.879,9;254.578,0;258.742,7;265.232,5;271.786,1;276.804,9
Germany (until 1990 former territory of the FRG);2.513.230,0;2.561.740,0;2.460.280,0;2.580.060,0;2.703.120,0;2.758.260,0;2.826.240,0;2.923.930,0;3.032.820,0;3.132.670,0
Estonia;16.246,4;16.517,3;14.145,9;14.716,5;16.667,6;17.934,9;18.890,1;19.758,3;20.251,7;20.916,4
Ireland;197.293,4;187.687,2;169.704,3;167.124,3;173.070,2;175.752,5;180.209,3;193.159,6;255.815,1;265.834,8
Greece;232.694,6;241.990,4;237.534,2;226.031,4;207.028,9;191.203,9;180.654,3;177.940,6;175.697,4;175.887,9
Spain;1.080.807,0;1.116.207,0;1.079.034,0;1.080.913,0;1.070.413,0;1.039.758,0;1.025.634,0;1.037.025,0;1.075.639,0;1.113.851,0
France;1.945.670,0;1.995.850,0;1.939.017,0;1.998.481,0;2.059.284,0;2.086.929,0;2.115.256,0;2.139.964,0;2.181.064,0;2.225.260,0
Croatia;43.925,8;48.129,8;45.090,7;45.004,3;44.708,6;43.933,7;43.487,1;42.977,8;43.846,9;45.557,0
Italy;1.609.550,8;1.632.150,8;1.572.878,3;1.604.514,5;1.637.462,9;1.613.265,0;1.604.599,1;1.621.827,2;1.645.439,4;1.672.438,3
Cyprus;17.591,0;19.006,0;18.673,5;19.299,5;19.731,1;19.467,0;18.118,2;17.567,4;17.637,2;17.901,4
Latvia;22.679,3;24.354,8;18.749,3;17.788,6;20.202,3;22.058,4;22.828,9;23.631,2;24.368,3;25.021,3
Lithuania;29.040,7;32.696,3;26.934,8;28.027,7;31.275,3;33.348,2;35.002,1;36.590,0;37.330,5;38.631,0
Luxembourg;37.178,9;38.128,6;36.976,5;40.177,8;43.164,6;44.112,1;46.551,4;49.970,9;52.339,7;54.194,9
Hungary;101.692,4;107.637,3;93.808,8;98.322,6;100.820,1;99.085,6;101.483,3;104.953,3;109.674,2;112.398,7
Malta;5.757,5;6.128,7;6.138,6;6.599,5;6.834,3;7.159,6;7.631,0;8.433,0;9.275,8;9.898,0
Netherlands;613.280,0;639.163,0;617.540,0;631.512,0;642.929,0;645.164,0;652.748,0;663.008,0;676.531,0;697.219,0
Austria;282.346,9;291.930,4;286.188,4;294.627,5;308.630,3;317.117,0;322.539,2;330.417,6;339.896,0;349.493,0
Poland;313.874,0;366.182,3;317.082,9;361.803,6;380.239,0;389.368,9;394.721,1;410.989,7;429.794,2;424.581,3
Portugal;175.467,7;178.872,6;175.448,2;179.929,8;176.166,6;168.398,0;170.269,3;173.079,1;179.504,3;184.931,1
Romania;125.403,4;142.396,3;120.409,2;126.746,4;133.305,9;133.511,4;144.253,5;150.357,5;159.963,7;169.077,9
Slovenia;35.152,6;37.951,2;36.166,2;36.252,4;36.896,3;36.002,5;35.917,1;37.332,4;38.570,0;39.769,1
Slovakia;56.241,6;66.002,8;64.023,1;67.577,3;70.627,2;72.703,5;74.169,9;75.946,4;78.685,6;80.958,0
Finland;186.584,0;193.711,0;181.029,0;187.100,0;196.869,0;199.793,0;203.338,0;205.474,0;209.511,0;214.062,0
Sweden;356.434,3;352.317,1;309.678,7;369.076,6;404.945,5;423.340,7;435.752,1;432.691,1;447.009,5;462.416,8
United Kingdom;2.237.031,3;1.964.449,7;1.705.456,0;1.833.021,3;1.876.151,1;2.065.736,8;2.048.328,0;2.260.804,8;2.580.064,5;2.366.911,9
Iceland;15.566,0;10.786,6;9.227,6;10.008,6;10.541,4;11.065,1;11.647,0;12.953,3;15.133,9;18.129,8
Liechtenstein;:;:;:;:;:;:;4.812,4;5.026,4;5.607,3;:
Norway;293.128,0;316.813,6;278.386,1;323.587,2;358.248,4;396.678,0;393.397,2;375.894,3;348.332,1;:
Switzerland;348.864,9;376.326,4;388.781,9;439.140,5;501.642,7;517.390,6;515.616,9;530.038,2;604.509,5;:
